time,date,hour,precip [mm/day],sub11005351 [m3/s],sub11005351 (observed) [m3/s],sub11004926 [m3/s],sub11004926 (observed) [m3/s],sub11004677 [m3/s],sub11004677 (observed) [m3/s],sub11004597 [m3/s],sub11004597 (observed) [m3/s],sub11004314 [m3/s],sub11004314 (observed) [m3/s],sub11004510 [m3/s],sub11004510 (observed) [m3/s],sub11004353 [m3/s],sub11004353 (observed) [m3/s],sub11004563 [m3/s],sub11004563 (observed) [m3/s],sub11004345 [m3/s],sub11004345 (observed) [m3/s],sub11004395 [m3/s],sub11004395 (observed) [m3/s]
850,1983-05-01,00:00:00.00,0.308598,0.253596,1.74,0.381949,0.296,1.43682,,2.15228,17.5,4.5325,30.4,1.43392,,3.09295,24.6,8.82448,16.2,23.5747,9.12,39.3216,81.4
851,1983-05-02,00:00:00.00,0.812933,0.475128,1.99,0.616742,0.302,0.961594,,1.60991,20.6,3.34915,33.2,2.55616,,3.04335,28.2,9.07745,17.8,21.3485,10,34.6265,90.8
852,1983-05-03,00:00:00.00,0.1518,0.373386,2.07,0.464013,0.332,1.11941,,2.14788,21.9,3.10936,35,2.45894,,3.272,27.9,8.1163,20.9,20.1888,11.4,32.3905,94.9
853,1983-05-04,00:00:00.00,0.906209,0.189835,2.08,0.975901,0.335,0.951344,,1.52379,21.9,2.77221,32.9,2.49315,,2.56389,26.5,7.13825,23.7,19.0636,13.2,30.9549,94.4
854,1983-05-05,00:00:00.00,0.25823,0.285917,2.04,1.22688,0.324,0.494383,,0.792119,20.6,2.07303,31.5,3.75413,,1.70671,25.5,6.43794,25.7,18.226,14.7,29.3322,91.6
855,1983-05-06,00:00:00.00,0.250287,0.194822,2.28,0.563031,0.324,0.447627,,0.784591,18.3,1.72387,32.9,3.26354,,1.23046,25.1,4.33056,26.4,17.2042,16,26.2967,94.5
856,1983-05-07,00:00:00.00,0.225869,0.198343,2.52,0.467376,0.316,0.46565,,0.892938,21.7,1.72742,36.2,3.40769,,1.35309,27.9,3.61318,26.6,15.8274,17.3,24.1038,100
857,1983-05-08,00:00:00.00,0.853253,0.31577,2.34,0.705758,0.301,0.496131,,0.957722,19.8,1.83615,33.8,5.01447,,1.55991,26.3,3.82859,27.6,14.9429,18.8,23.5882,98.5
858,1983-05-09,00:00:00.00,0.597456,0.38824,2.2,0.696955,0.291,0.614193,,1.11039,16.9,2.14127,30.1,3.91707,,1.83174,23.9,4.63415,28.6,14.4025,20.4,24.2854,93.9
859,1983-05-10,00:00:00.00,0.424275,0.259774,1.95,0.35127,0.296,0.555726,,1.04072,14.7,2.04796,26.3,1.00701,,1.79928,21.1,4.60115,28.7,13.3954,21.1,23.0065,88.6
860,1983-05-11,00:00:00.00,2.42663,0.451187,1.88,0.795739,0.316,1.32182,,2.45663,13.7,4.40535,24,1.74994,,3.39862,19.5,4.80605,26.8,12.2632,21.4,25.8862,84.5
861,1983-05-12,00:00:00.00,0.273629,0.475989,1.98,0.792336,0.315,1.43855,,2.62139,13.7,4.8913,23.4,1.98485,,4.19718,18.4,5.16501,26.7,11.6388,22.2,28.0134,83.4
862,1983-05-13,00:00:00.00,0.446391,0.240187,2.14,0.254982,0.308,0.630198,,1.90968,14.7,2.29105,24,1.92756,,3.01021,19.1,4.37869,25.4,11.0976,23.1,23.4545,84.5
863,1983-05-14,00:00:00.00,0.322157,0.214117,2.51,0.375156,0.312,0.807008,,2.08848,16.5,2.17115,26.8,2.20851,,2.92275,20.2,3.59087,23.4,10.5149,24.3,21.143,88.2
864,1983-05-15,00:00:00.00,0.275681,0.156427,2.82,0.628843,0.326,0.875429,,1.56076,19.3,2.65853,31,1.45688,,4.0245,24.5,3.36189,22.5,10.0782,24.6,22.4809,95.5
865,1983-05-16,00:00:00.00,0.892778,0.245265,2.78,0.672081,0.35,0.723944,,2.36763,19.8,2.81094,30.6,2.1771,,5.43711,25,3.85883,25,10.0218,25.1,24.758,98.1
866,1983-05-17,00:00:00.00,3.68358,1.25405,3.3,0.904454,0.371,2.45676,,5.94597,19.8,6.78875,32.3,8.51729,,10.8589,23.4,6.82453,25.2,11.7322,24.9,34.641,100
867,1983-05-18,00:00:00.00,0.309905,1.42748,3.84,1.40899,0.419,2.36557,,4.88505,18.7,7.705,33.7,10.1625,,11.809,23.4,10.2298,25.4,15.6004,25.1,44.6346,103
868,1983-05-19,00:00:00.00,0.484772,0.481896,3.55,1.41802,0.478,0.512692,,1.11392,17.1,3.38998,31.8,4.8706,,5.44216,22.5,9.99917,27.7,18.6744,25.9,42.0178,99.5
869,1983-05-20,00:00:00.00,0.51405,0.325569,3.62,1.06335,0.477,0.507649,,1.04546,18.5,2.04424,33.2,3.50179,,3.21082,23.1,7.69821,28.5,19.2753,26.8,37.108,100
870,1983-05-21,00:00:00.00,0.224104,0.28772,4.7,0.858521,0.513,0.459761,,0.479883,25.9,1.43507,46.1,3.38462,,2.76699,28.7,5.83097,28.9,18.5813,26.2,33.8062,113
871,1983-05-22,00:00:00.00,0.789385,0.266822,7.3,1.32467,0.647,1.15437,,1.44427,35.8,2.75272,70.7,4.48499,,5.29299,42.8,5.87968,31,18.356,25.6,36.8959,143
872,1983-05-23,00:00:00.00,0.380136,0.361588,8.09,2.20969,0.701,1.50898,,2.16116,36,4.15111,68.7,5.34064,,8.4438,43.8,8.26802,36.4,19.7911,25.6,48.2795,145
873,1983-05-24,00:00:00.00,0.257931,0.247898,8.78,2.83745,0.78,1.24333,,1.98763,38.2,4.2685,71.5,5.17374,,9.78848,46.4,12.234,39,22.534,27,62.2765,153
874,1983-05-25,00:00:00.00,0.217119,0.0577813,9.62,3.35143,0.834,1.3466,,2.6223,41.4,5.27834,74.5,6.10455,,12.687,47.4,16.446,41,25.8021,28.5,81.5226,165
875,1983-05-26,00:00:00.00,0.188434,0.153447,10.5,3.96814,0.839,0.868942,,1.96853,39.5,4.76333,73.3,8.68927,,15.0979,50.9,21.2334,44,29.585,29.8,103.405,161
876,1983-05-27,00:00:00.00,0.167721,1.18943,9.76,4.15927,0.77,0.508353,,1.18046,36.2,4.08345,66.5,11.6082,,15.98,46,28.7689,48,34.7936,31.9,118.85,151
877,1983-05-28,00:00:00.00,0.17895,1.94879,10.1,4.38674,0.701,0.4405,,0.901832,35.9,3.76117,64.5,10.2589,,15.6104,43,39.2912,49.2,41.1911,34.2,125.893,153
878,1983-05-29,00:00:00.00,0.166155,1.76049,10.9,3.59471,0.624,0.288023,,0.561329,40.7,3.0339,68.5,6.9127,,15.5644,44.9,44.8435,48.5,46.7093,35.8,129.007,155
879,1983-05-30,00:00:00.00,0.132799,2.84643,12,2.79136,0.553,0.814743,,0.628303,50.7,3.96523,82.1,7.45196,,19.4179,51.6,44.1797,44,50.2713,36.8,140.117,179
880,1983-05-31,00:00:00.00,0.114718,4.36546,12.3,3.53909,0.508,0.806615,,1.30281,51.3,6.98463,83.1,10.8109,,27.2293,59.6,47.9193,40.2,53.6697,37.7,157.686,186
881,1983-06-01,00:00:00.00,0.267011,5.30298,10.4,4.36558,0.462,2.91894,,5.37556,45.7,13.7297,76,14.4958,,36.3002,52.7,56.8201,38.4,59.6824,38.1,176.053,180
882,1983-06-02,00:00:00.00,0.444925,6.14096,8.43,4.47294,0.426,3.40423,,6.67218,37.2,17.08,68.6,17.8961,,36.499,46.3,57.3009,35.2,67.1055,40.1,186.871,176
883,1983-06-03,00:00:00.00,0.19376,5.87143,7.23,3.86934,0.399,0.840604,,3.74963,30,14.0837,57,18.3572,,21.8685,37.5,43.8279,30.9,69.9854,39.6,178.083,146
884,1983-06-04,00:00:00.00,0.724927,5.36367,5.6,3.92125,0.392,0.394521,,2.0712,23.8,10.634,42.8,16.5107,,9.69266,29.9,31.244,28.8,65.9224,39.9,157.926,122
885,1983-06-05,00:00:00.00,0.673944,4.48649,4.5,3.9551,0.382,0.373608,,0.909824,20.2,7.07248,34.9,14.0791,,6.39884,24.3,25.8379,26.9,58.8262,38.6,133.644,106
886,1983-06-06,00:00:00.00,0.234908,3.42877,3.82,2.79744,0.347,0.39105,,0.808292,19,5.31091,32,11.2118,,4.53346,22.5,21.4409,24.3,51.2185,36.4,110.12,97.6
887,1983-06-07,00:00:00.00,0.256102,3.33634,3.35,2.23362,0.32,0.413977,,0.85908,18.6,5.04088,32.9,9.93613,,3.99419,23.6,18.0059,22.7,43.6101,35.8,92.5363,94.6
888,1983-06-08,00:00:00.00,0.272599,4.01646,3.11,2.73463,0.292,0.464258,,1.09263,19.4,4.91743,34.8,10.9874,,4.5322,28.2,16.8159,20.8,37.7204,34.4,82.9879,95.7
889,1983-06-09,00:00:00.00,0.283557,4.9748,2.89,3.28853,0.272,0.941812,,2.67649,19.4,7.18501,32.7,13.1561,,6.69863,26.5,17.2393,19.8,34.46,32.1,85.2175,89.7
890,1983-06-10,00:00:00.00,0.2829,5.76644,2.66,3.43955,0.247,1.19444,,4.26761,19.1,9.66696,32.6,14.9537,,8.96893,27.6,18.7311,18.1,33.3581,30,83.8256,87.8
891,1983-06-11,00:00:00.00,0.822438,5.82472,2.58,3.49223,0.246,2.0409,,5.49553,17.8,11.3778,32.4,14.3716,,10.6447,21.2,20.2165,16,33.4558,27.8,78.7078,83.3
892,1983-06-12,00:00:00.00,0.500541,4.98028,2.43,3.24768,0.247,2.34208,,5.30494,16.4,11.44,25.4,10.2436,,10.7703,19.6,20.3962,14.5,33.1331,25.4,76.1331,72.9
893,1983-06-13,00:00:00.00,0.471226,3.7192,2.57,2.62094,0.258,1.21682,,2.93846,13.9,7.96756,23.7,5.92721,,7.9736,15.5,18.5613,13.1,31.2494,24,67.1557,66.2
894,1983-06-14,00:00:00.00,0.717169,3.31318,2.25,1.609,0.235,0.848234,,1.8452,12.7,6.10189,21.1,4.45677,,6.2241,13.8,16.0558,11.8,28.3287,22.6,60.624,60.4
895,1983-06-15,00:00:00.00,0.223944,3.89216,1.91,0.381241,0.209,0.613032,,1.49869,12.9,5.6365,20.3,4.42727,,5.85148,13.9,14.746,10.8,25.4981,21.3,55.2896,56.9
896,1983-06-16,00:00:00.00,0.646911,4.76689,2.81,0.233442,0.203,1.17285,,3.76301,14.1,7.99795,22.1,4.95884,,7.83111,15.7,15.159,9.93,23.4432,19.8,54.8687,61
897,1983-06-17,00:00:00.00,2.87723,7.22407,2.37,0.649803,0.189,2.16204,,5.85614,12.1,11.8614,20,8.91388,,10.4206,13.3,20.1583,9.7,23.7225,19,62.38,57.2
898,1983-06-18,00:00:00.00,1.60092,6.72957,2.22,1.37118,0.202,2.36902,,6.01737,16.3,13.2455,22.7,11.1357,,10.4109,16.1,25.8709,9.46,26.8935,17.9,70.58,59.7
899,1983-06-19,00:00:00.00,3.00922,5.8386,2.26,1.17382,0.198,4.58954,,12.2074,14.7,19.0936,19.9,10.2587,,16.1072,18.3,24.5427,9.15,30.1854,16.8,82.165,59.6
900,1983-06-20,00:00:00.00,0.332268,4.66541,1.76,0.41952,0.169,4.48812,,11.2045,11.2,18.126,15.7,8.80464,,17.7568,13.1,18.7431,9.16,30.927,16.2,81.6024,48.8
901,1983-06-21,00:00:00.00,0.574193,2.38871,1.56,0.638243,0.202,1.3668,,4.69206,9.09,8.75423,13.8,5.34349,,10.3954,10.6,12.3809,9.22,28.4739,15.9,65.4898,43.6
902,1983-06-22,00:00:00.00,4.52378,3.47853,1.94,2.08749,0.25,0.917221,,5.65987,9.04,6.92897,13.7,4.87514,,7.73439,9.78,10.522,9.26,25.3422,15.5,63.7207,41.9
903,1983-06-23,00:00:00.00,0.400552,4.12824,1.66,1.94022,0.216,1.98914,,6.51759,9.28,10.0741,13.5,5.87694,,8.18548,9.33,12.3328,8.96,23.8289,15.2,68.2154,41.4
904,1983-06-24,00:00:00.00,0.48968,4.03347,1.53,0.698212,0.184,3.11506,,7.66209,10.7,13.1657,16,5.12886,,8.93909,9.84,10.704,8.7,22.2494,14.4,63.091,44
905,1983-06-25,00:00:00.00,3.03242,5.57636,1.79,1.30879,0.23,6.48507,,17.0893,9.48,23.1223,14.5,6.87436,,16.0938,9.88,8.89577,8.65,20.4447,13.8,71.49,42.8
906,1983-06-26,00:00:00.00,0.684413,4.46085,1.46,1.28312,0.21,6.20883,,17.2214,8.76,24.8431,12.5,8.44651,,20.0602,8.98,9.34976,8.58,19.7103,13.6,79.392,39.2
907,1983-06-27,00:00:00.00,0.337926,1.48387,1.24,0.591314,0.211,3.97784,,9.92443,9.67,17.9956,13.3,5.57664,,15.0409,9.27,8.26232,8.61,18.7759,13.1,70.4143,39.6
908,1983-06-28,00:00:00.00,0.512272,1.22479,1.17,0.585701,0.2,6.52325,,14.5258,10.2,23.1142,13.6,2.70597,,14.5385,10.1,5.8942,8.48,16.63,12.6,67.5233,40.4
909,1983-06-29,00:00:00.00,0.304339,1.26648,1.07,0.560294,0.181,7.72265,,18.4778,9.61,26.0739,13.8,1.87941,,18.2742,9.75,4.13311,8.22,14.0192,12.3,69.765,39.9
910,1983-06-30,00:00:00.00,1.02197,1.82976,1.09,0.429234,0.183,7.6458,,18.2215,10.2,23.2189,15.3,3.42798,,19.9736,9.91,3.15782,7.87,11.8999,11.9,69.0509,41
911,1983-07-01,00:00:00.00,3.7568,2.74733,1.22,0.774413,0.207,10.2874,,22.1568,8.54,29.3982,13.4,6.28178,,24.5996,9.2,3.42584,7.48,11.0342,12.4,82.2338,39.6
912,1983-07-02,00:00:00.00,0.314851,2.13576,1.06,0.808847,0.173,9.805,,19.8357,7.46,30.0819,11.2,5.64562,,24.9891,8.34,4.4216,7.29,10.9464,12.9,87.23,36
913,1983-07-03,00:00:00.00,4.5434,2.84905,1.6,1.25871,0.284,8.18593,,19.6816,10.2,25.9505,14.3,7.41518,,25.0544,8.44,6.0799,7.14,11.3062,12,84.3871,39.8
914,1983-07-04,00:00:00.00,2.46415,3.09118,1.39,2.52107,0.32,9.06351,,21.732,8.42,27.7335,13.4,9.33753,,27.0243,9.84,8.21576,7.15,12.7917,11.7,94.1681,41.3
915,1983-07-05,00:00:00.00,0.369554,1.33144,1.12,1.7855,0.265,7.06389,,13.7647,7.17,22.9103,11.1,5.18985,,20.213,8.37,8.01111,7.02,13.9419,11.6,87.6956,36.6
916,1983-07-06,00:00:00.00,0.174172,0.731906,0.987,0.243281,0.245,6.50585,,8.8438,6.74,18.1583,10.2,1.82702,,12.9053,7.64,5.67258,6.95,13.1092,11,67.7026,33.5
917,1983-07-07,00:00:00.00,0.186785,1.00468,0.881,0.176911,0.223,7.98258,,8.76896,6.12,19.2414,9.5,1.17295,,9.94983,7.06,3.79463,6.84,11.1953,10.6,52.7171,31.2
918,1983-07-08,00:00:00.00,0.399577,1.54639,0.837,0.349086,0.206,9.28393,,11.0464,5.49,22.6351,8.23,1.79437,,11.1154,6.42,3.01674,6.41,9.4405,10.3,46.76,28.4
919,1983-07-09,00:00:00.00,0.363896,1.28356,0.857,0.40983,0.206,8.48865,,10.5476,4.85,22.0568,7.22,1.97678,,12.0285,5.91,2.85651,6.23,8.16016,9.92,45.9243,26.3
920,1983-07-10,00:00:00.00,1.51,2.33536,1.12,0.820144,0.239,5.04482,,7.56782,4.3,15.9108,6.65,3.11788,,9.97735,5.28,3.73782,5.95,7.50595,9.52,42.3563,24.6
921,1983-07-11,00:00:00.00,0.260058,2.25378,0.896,0.850802,0.209,2.93167,,5.73447,4.08,10.8198,6.24,3.9366,,7.46955,4.65,5.35657,5.73,7.51575,8.94,35.4895,23.1
922,1983-07-12,00:00:00.00,0.284487,0.772751,0.793,0.432812,0.184,3.07716,,5.7897,5.88,10.8603,6.91,2.38269,,6.54116,4.59,5.16411,5.55,7.57208,8.92,30.8598,22.7
923,1983-07-13,00:00:00.00,1.56991,1.55297,0.961,0.327224,0.17,7.29372,,16.7582,17.2,20.8414,10.9,1.96775,,13.301,19.2,4.08202,5.28,7.30831,8.26,39.0551,29.8
924,1983-07-14,00:00:00.00,0.595118,1.98801,0.965,0.3178,0.154,8.47648,,23.4716,15.3,27.577,12.2,2.73362,,21.6034,14.4,3.90231,5.12,7.02817,7.96,52.6437,36.3
925,1983-07-15,00:00:00.00,1.18361,1.90719,1,0.350075,0.14,6.72339,,18.0779,21,25.6351,15.4,3.3388,,21.3849,24,4.00388,4.88,6.91584,7.1,57.4996,42.6
926,1983-07-16,00:00:00.00,1.52782,1.64438,0.935,0.704355,0.147,5.37633,,11.9554,15.5,20.3941,11.2,3.3482,,16.0096,14.3,4.41579,4.87,7.03203,5.77,53.8916,36.6
927,1983-07-17,00:00:00.00,2.86505,1.42002,0.965,1.05324,0.149,3.75259,,8.41374,11.7,15.8183,9.21,3.52868,,11.6328,11.7,5.23065,4.79,7.49738,5.43,50.2847,28.9
928,1983-07-18,00:00:00.00,1.24576,1.32447,0.899,0.844702,0.139,5.37175,,12.453,9.22,20.0464,8.25,4.24131,,13.035,9.49,5.58432,4.85,8.17185,5.39,52.7492,25
929,1983-07-19,00:00:00.00,0.302619,0.650815,0.78,0.314949,0.12,6.72352,,14.9571,7.88,24.8394,7.44,2.99992,,15.5456,8.44,4.75252,4.65,8.36171,5.25,54.9999,21.8
930,1983-07-20,00:00:00.00,0.273053,0.353446,0.7,0.0141273,0.108,6.70272,,14.3067,6.81,25.598,6.77,1.16996,,15.4694,7.41,3.43128,4.34,7.70738,5.14,53.8185,19.8
931,1983-07-21,00:00:00.00,1.13103,1.98809,0.716,0.168145,0.098,7.08875,,15.2836,5.88,26.9155,6.24,2.45071,,15.6312,6.55,3.2626,3.91,6.94285,4.84,53.0739,18.4
932,1983-07-22,00:00:00.00,0.338548,1.98539,0.696,0.345518,0.094,6.99698,,14.8832,5.29,27.0185,5.97,3.60194,,15.7006,6.23,4.22961,3.73,6.72148,4.48,52.8728,17.3
933,1983-07-23,00:00:00.00,0.250711,0.339784,0.623,0.177373,0.082,6.23894,,13.0101,4.71,24.0654,5.46,1.96686,,14.3882,5.37,4.11505,3.7,6.61429,4.27,50.0805,16
934,1983-07-24,00:00:00.00,0.272998,0.334331,0.573,0.140638,0.069,6.57449,,12.8654,4.25,21.8184,5.18,0.744729,,13.4612,5.07,2.98419,3.58,6.09055,3.48,46.2081,15
935,1983-07-25,00:00:00.00,0.496498,0.580932,0.57,0.278375,0.071,7.03816,,14.3234,3.82,21.1822,4.91,1.13599,,14.2047,4.41,2.19636,3.56,5.35921,3.01,44.1839,14.1
936,1983-07-26,00:00:00.00,1.88602,1.25997,0.727,0.370353,0.066,7.29848,,15.7603,3.49,21.436,4.68,2.84323,,15.6445,3.97,2.42022,3.43,4.95236,2.7,44.624,13.1
937,1983-07-27,00:00:00.00,0.497082,1.24284,0.679,0.399685,0.061,6.5375,,13.8776,3.25,19.5246,4.38,3.29528,,15.1959,3.56,3.61213,3.35,5.04628,2.6,43.831,12.4
938,1983-07-28,00:00:00.00,0.323798,0.587534,0.599,0.288467,0.053,5.01218,,10.5832,2.97,15.5432,4.04,1.85388,,12.6504,3.39,4.13498,3.3,5.21905,2.7,39.1544,11.8
939,1983-07-29,00:00:00.00,0.50642,0.371784,0.551,0.241697,0.052,4.49785,,6.44789,2.83,13.3198,3.85,0.903662,,8.93652,3.12,3.61136,3.3,5.12297,2.6,33.315,11.4
940,1983-07-30,00:00:00.00,0.208713,0.33982,0.509,0.232561,0.045,5.05465,,2.8717,2.53,13.601,3.65,0.642141,,5.11258,3.08,3.01961,3.34,4.79172,2.68,28.3306,11
941,1983-07-31,00:00:00.00,0.186666,0.305664,0.438,0.219211,0.036,5.10852,,1.90063,2.26,13.989,3.34,0.535864,,2.74499,2.76,2.44722,3.37,4.32345,2.59,24.7718,10.4
942,1983-08-01,00:00:00.00,0.0735976,0.147931,0.395,0.10695,0.031,2.61086,,0.923127,2.12,9.44638,3.17,0.358278,,1.42424,2.48,1.81762,3.31,3.79946,2.52,19.5023,10.1
943,1983-08-02,00:00:00.00,1.10004,0.900137,0.376,5.66176e-20,0.032,0.671831,,1.1451,2.04,4.87398,3.28,1.31639,,1.29979,2.32,1.69651,3.44,3.38894,2.27,13.5818,9.99
944,1983-08-03,00:00:00.00,0.366083,1.2369,0.359,0.0910318,0.026,1.05086,,1.7394,1.92,5.08536,3.06,2.21228,,1.89738,2.19,2.02042,3.49,3.24614,2.24,11.8321,9.62
945,1983-08-04,00:00:00.00,0.282857,0.476059,0.325,0.178384,0.026,1.29669,,1.59771,1.86,5.4269,2.91,1.39649,,2.07929,2.08,2.03928,3.3,3.19428,2.19,12.1613,9.29
946,1983-08-05,00:00:00.00,0.243826,0.270778,0.302,0.0873519,0.024,1.1627,,1.49689,1.86,4.98265,2.67,0.618371,,1.98835,1.98,1.65917,3.22,3.01187,2.25,11.9527,9.07
947,1983-08-06,00:00:00.00,0.248848,0.261235,0.28,0.0809207,0.023,1.08138,,1.40125,1.8,4.65086,2.37,0.424237,,1.8827,1.79,1.24671,3.07,2.69719,2.1,11.2401,8.79
948,1983-08-07,00:00:00.00,0.1959,0.254828,0.263,0.1591,0.02,0.807667,,1.36945,1.69,3.97031,2.29,0.383504,,1.696,1.61,0.976571,2.95,2.3268,2.12,9.88672,8.69
949,1983-08-08,00:00:00.00,0.152575,0.125079,0.245,0.153626,0.019,0.561259,,1.36671,1.58,3.29536,2.15,0.295772,,1.49182,1.57,0.817717,2.87,1.98579,2.23,8.24766,8.5
950,1983-08-09,00:00:00.00,0.274722,0.115115,0.246,0.150155,0.016,0.85441,,1.40062,1.48,3.66951,2.05,0.218335,,1.58288,1.46,0.690942,2.76,1.66063,2.21,8.02274,8.44
951,1983-08-10,00:00:00.00,0.383681,0.273217,0.378,0.181789,0.018,1.22623,,1.50835,1.47,4.81824,2.16,0.280142,,1.82136,1.4,0.584617,2.66,1.41097,2.12,9.10627,8.28
952,1983-08-11,00:00:00.00,0.785984,0.617014,0.416,0.213009,0.014,1.3295,,1.70843,1.44,5.6736,2.18,0.755996,,2.01376,1.31,0.562641,2.6,1.27523,2.08,10.0998,8.13
953,1983-08-12,00:00:00.00,3.93597,1.46338,0.66,0.489579,0.024,2.77691,,4.36944,1.66,9.78699,2.75,1.91563,,3.89114,1.5,0.94746,2.57,1.27262,2.6,15.4711,8.76
954,1983-08-13,00:00:00.00,3.55972,1.76481,0.631,0.61824,0.026,4.45691,,5.15291,1.63,16.1764,2.99,2.88115,,6.07662,1.56,1.90183,2.52,1.55093,3.12,27.499,9.27
955,1983-08-14,00:00:00.00,0.352586,0.882834,0.483,0.316472,0.016,2.98243,,2.40007,1.38,13.3176,2.41,2.25329,,4.98684,1.44,2.59158,2.48,1.99451,3.09,28.6988,8.59
956,1983-08-15,00:00:00.00,0.268435,0.235748,0.377,0.16193,0.012,1.19616,,1.14454,1.23,6.52267,2.12,0.946696,,2.61537,1.14,2.31575,2.42,2.22532,3.02,18.3966,8.09
957,1983-08-16,00:00:00.00,0.155663,0.113249,0.315,0.157487,0.012,0.851022,,0.445503,1.16,4.3679,1.92,0.319873,,1.11552,1.06,1.63477,2.37,2.15635,2.97,11.6631,7.55
958,1983-08-17,00:00:00.00,0.220918,0.104687,0.274,0.149308,0.01,0.788405,,0.425475,1.07,3.67914,1.7,0.157874,,0.5031,0.985,1.18832,2.27,1.95461,2.87,8.59407,7.09
959,1983-08-18,00:00:00.00,0.221971,0.206701,0.243,0.140394,0.01,0.891224,,0.844568,0.975,3.29907,1.59,0.204664,,0.663881,0.948,0.967792,2.08,1.71817,2.86,7.36066,6.88
960,1983-08-19,00:00:00.00,0.34043,0.206865,0.222,0.136287,0.011,0.655328,,0.831849,0.925,2.54855,1.58,0.289323,,0.993393,0.895,0.825133,1.99,1.50967,2.99,6.63607,6.8
961,1983-08-20,00:00:00.00,0.776775,0.202103,0.204,0.150468,0.01,0.633584,,1.04462,0.845,2.43559,1.56,0.335895,,1.44837,0.858,0.773711,1.95,1.37883,2.82,6.70466,6.77
962,1983-08-21,00:00:00.00,0.130028,0.190724,0.185,0.0827063,0.008,0.62727,,0.631864,0.768,2.43625,1.38,0.297153,,1.16678,0.781,0.674356,1.87,1.28961,2.89,6.52751,6.5
963,1983-08-22,00:00:00.00,0.177812,0.183279,0.172,0.0567935,0.009,0.502787,,1.90943e-19,0.742,2.01083,1.27,0.246193,,0.349906,0.744,0.51127,1.79,1.17875,2.89,5.27409,6.38
964,1983-08-23,00:00:00.00,0.103287,0.0898074,0.165,0.112004,0.011,0.248842,,0,0.698,1.37184,1.18,0.177593,,0.0522671,0.733,0.39808,1.67,1.04977,2.91,3.91809,6.45
965,1983-08-24,00:00:00.00,0.102521,0,0.154,0.0552102,0.009,0.187833,,0.401428,0.645,0.742716,1.09,0.0681351,,0.244616,0.711,0.275092,1.59,0.912019,2.85,2.87047,6.29
966,1983-08-25,00:00:00.00,0.315022,0.0783178,0.151,0.0489211,0.01,0.422966,,0.792887,0.594,1.11925,1.03,0.0600993,,0.752708,0.711,0.172518,1.5,0.770609,2.72,3.10831,6.23
967,1983-08-26,00:00:00.00,1.00431,0.157762,0.153,0.233864,0.038,0.483663,,0.834799,0.583,1.71622,1,0.143563,,1.10156,0.689,0.167599,1.44,0.652597,2.74,4.42168,6.07
968,1983-08-27,00:00:00.00,0.428661,0.20656,0.153,0.263378,0.028,0.24853,,0.823177,0.553,1.60456,0.967,0.221807,,1.00837,0.651,0.269226,1.38,0.56122,2.72,4.87282,6.02
969,1983-08-28,00:00:00.00,0.211333,0.161506,0.16,0.13253,0.02,0,,0.75724,0.558,0.936788,0.905,0.218285,,0.809332,0.641,0.362094,1.38,0.484769,2.77,4.02332,5.96
970,1983-08-29,00:00:00.00,0.684156,0.238224,0.177,0.105196,0.019,0.220399,,0.802488,0.588,0.91899,0.926,0.259189,,0.9041,0.695,0.439795,1.34,0.428129,2.74,3.4936,6.02
971,1983-08-30,00:00:00.00,2.21192,0.569164,0.315,0.106684,0.017,1.04222,,1.6717,0.613,3.43183,1.25,0.758167,,1.71287,0.722,0.715924,1.37,0.43263,2.9,5.89036,6.28
972,1983-08-31,00:00:00.00,0.814731,0.512315,0.331,0.138971,0.018,1.21806,,1.95689,0.61,4.53976,1.2,1.07491,,2.35431,0.744,1.02191,1.31,0.51952,2.89,8.6013,6.25
973,1983-09-01,00:00:00.00,0.454095,0.22278,0.271,0.134597,0.016,0.865723,,1.44543,0.588,3.36262,1.16,0.696829,,2.10563,0.762,1.08133,1.28,0.611485,2.66,8.36044,6.16
974,1983-09-02,00:00:00.00,0.284068,0.148772,0.279,0.111651,0.034,0.781741,,0.745863,0.781,2.99989,1.27,0.330809,,1.3016,0.843,0.969181,1.31,0.636343,2.51,7.03031,6.24
975,1983-09-03,00:00:00.00,11.9689,1.16053,0.791,0.529197,0.096,2.92851,,5.13965,2.14,9.70331,3.7,2.9496,,5.19044,1.36,2.17337,1.33,0.905494,2.43,17.6632,8.2
976,1983-09-04,00:00:00.00,3.10309,1.72351,0.712,0.938276,0.075,3.01469,,6.16993,1.85,11.6292,2.77,6.9888,,8.4476,2.06,5.20876,1.31,2.28092,2.43,30.9433,8.73
977,1983-09-05,00:00:00.00,0.315071,0.761052,0.532,0.469522,0.038,0.72602,,1.55118,1.4,4.71373,2.13,5.44173,,4.94375,1.54,6.4773,1.34,4.36343,2.33,27.4066,8.11
978,1983-09-06,00:00:00.00,2.671,0.968993,0.829,0.38805,0.027,0.587262,,0.954374,1.19,2.45993,1.84,4.05486,,2.31194,1.34,6.53592,1.47,6.08067,2.34,21.375,7.54
979,1983-09-07,00:00:00.00,0.821162,1.04385,0.919,0.483285,0.022,1.07875,,0.889559,1.02,3.78407,1.62,4.31124,,2.24824,1.25,6.74577,1.51,7.49532,2.24,21.2804,7.25
980,1983-09-08,00:00:00.00,0.414708,0.199953,0.642,0.381866,0.023,1.12735,,0.982398,0.984,4.18959,1.55,1.83643,,2.10056,1.17,5.38024,1.48,8.06998,2.27,20.1261,6.94
